index,stars
0,5.0
1,4.322315942932829
2,3.8300925174750855
3,2.76
4,2.825617301566188
5,3.84
6,4.1
7,3.92
8,4.06
9,4.0
10,4.25
11,3.6956268189529724
12,3.7764339112767877
13,4.392688971667424
14,3.7215726157905853
15,4.0
16,2.9
17,4.515207424991844
18,3.48
19,4.25
20,4.75
21,3.2719990487265598
22,3.67
23,3.3945245177917562
24,3.249035236852386
25,3.8493688462248277
26,3.2297343858533645
27,4.58
28,3.7002999704241017
29,5.0
30,3.99
31,4.2
32,3.5091900495949173
33,2.9
34,4.38
35,3.5330352427734573
36,2.9999999999999996
37,3.51
38,5.0
39,5.0
40,4.26
41,4.15
42,3.723112443768063
43,3.85
44,3.84
45,3.85
46,4.0
47,4.56
48,3.67
49,4.209383746825396
50,3.33
51,3.7814881937968137
52,3.5045136996811146
53,3.6732973212392723
54,4.81
55,4.133783197253213
56,3.7471918139615905
57,3.61
58,4.037307379663613
59,4.199036302793267
60,4.58
61,4.35
62,1.6377453407591334
63,4.8
64,3.3646160842310286
65,3.074625214886593
66,2.28
67,4.6
68,3.6
69,3.77
70,3.0
71,5.0
72,3.938257593568741
73,3.91
74,3.0
75,4.217482393225803
76,4.0
77,2.0
78,3.73
79,4.07
80,4.06
81,3.31
82,4.41
83,3.5649737865054916
84,5.0
85,2.7129003634441036
86,5.0
87,3.8917801127361153
88,5.0
89,3.55
90,4.75
91,3.88
92,2.83
93,4.7822559152896496
94,3.4269521343712825
95,3.51012233131154
96,2.13
97,3.91
98,4.71
99,3.243509423107115
100,4.135782251246331
101,3.6667389893380973
102,4.42
103,4.17
104,4.41
105,4.2266965869356055
106,4.43
107,5.0
108,3.52
109,3.7951782939900256
110,5.0
111,3.8326985764272625
112,3.23
113,3.93
114,3.1
115,4.463415998014818
116,3.4
117,4.201298446192231
118,4.36
119,4.67
120,3.6771824394623565
121,3.64
122,3.43
123,4.07
124,3.63
125,3.18
126,2.6
127,4.0
128,3.84
129,3.39
130,4.62
131,4.31
132,4.176669121969878
133,4.0124208841627
134,4.25
135,3.15
136,2.66
137,5.0
138,4.34
139,3.75
140,3.4
141,5.0
142,4.75
143,3.5
144,3.81
145,4.449782963934296
146,3.753009604825311
147,4.12
148,3.66
149,3.710942492922403
150,3.64
151,3.0
152,3.15
153,4.13
154,3.3011970305608016
155,4.18
156,4.35
157,3.654117187858711
158,4.44
159,4.0
160,4.163154298956958
161,4.04864761457731
162,3.65
163,3.4787024172860215
164,4.22
165,4.538230004195591
166,3.8
167,3.95
168,4.06
169,4.260732080285307
170,4.64
171,3.859529943574768
172,5.0
173,3.68
174,4.350686200070213
175,4.0
176,3.825737147736719
177,4.306649050187546
178,3.9
179,2.9999999999999996
180,3.915002554316194
181,3.6
182,4.38
183,3.7150151646384764
184,4.13
185,3.2154658794623012
186,5.0
187,4.629776019494144
188,2.5146355909560274
189,4.59
190,2.95
191,5.0
192,4.1847858434185365
193,4.2081457000728335
194,2.42
195,3.30623845820071
196,3.5
197,3.07
198,4.79694597491658
199,3.3311681245863225
200,3.7272924102908362
201,3.684730546745741
202,3.41
203,4.69
204,5.0
205,4.7
206,4.14
207,4.29
208,4.008138450127684
209,2.65
210,4.443480808118629
211,4.2
212,3.5531926774884255
213,4.344071395891689
214,3.772986881287075
215,3.89
216,5.0
217,3.0
218,4.06
219,4.92
220,4.07
221,4.0
222,3.75
223,3.725902500543756
224,2.8659561815796213
225,3.7042277335455216
226,4.595934437980179
227,4.236806049191857
228,4.1
229,5.0
230,3.31
231,4.0
232,5.0
233,4.7
234,4.69
235,4.158351658606027
236,3.0
237,3.193711877843766
238,4.27894573991693
239,4.01
240,3.5275133383685793
241,3.5015536841292114
242,4.19
243,3.557825675258732
244,3.49
245,4.53
246,4.6
247,3.7
248,3.5567399839951945
249,4.0
250,3.577931714081068
251,2.434917102660704
252,4.5
253,3.0
254,3.24
255,3.75
256,4.97
257,2.7983396698848977
258,4.5
259,4.556308534356351
260,3.7
261,3.81
262,3.023404734784833
263,3.86
264,3.87
265,3.46
266,4.05
267,3.91
268,3.57
269,4.586763737043125
270,3.143420647802107
271,4.23123007028161
272,4.13
273,3.9371391745756696
274,4.0
275,5.0
276,5.0
277,4.0
278,5.0
279,3.69
