index,stars
0,3.824395586105941
1,3.8163952979853195
2,3.77974584345006
3,3.785351111323127
4,3.789738647806844
5,3.806580527534193
6,3.8045869761466697
7,3.766195239587114
8,3.810060825149678
9,3.787671450077441
10,3.7681658708455736
11,3.7731411036961995
12,3.760540859558674
13,3.7940888334505267
14,3.7948796555510174
15,3.8072681858809307
16,3.812303943627789
17,3.809771246387733
18,3.792123779588893
19,3.7902518772817078
20,3.8537974681840663
21,3.7651882353469883
22,3.791132766882344
23,3.7717118495862763
24,3.7283044672984524
25,3.776414766029273
26,3.799976455732525
27,3.7855057544364072
28,3.803974032203856
29,3.80092724484998
30,3.8180223083846045
31,3.7826926222852304
32,3.817146282703282
33,3.8365847876864727
34,3.81527308318155
35,3.786140175267875
36,3.8084170056622284
37,3.7861546895470433
38,3.8033056003195753
39,3.816422843611781
40,3.8193386834377527
41,3.8344632747182636
42,3.7923995103665433
43,3.8010046224724015
44,3.8097491440669216
45,3.820739219946201
46,3.7991724523619474
47,3.7977677822320595
48,3.808249889085129
49,3.8492183548805468
50,3.8073659941309366
51,3.840803889686486
52,3.7939592451919992
53,3.8106978315134676
54,3.8196027419158214
55,3.8144631037326966
56,3.772415128998368
57,3.7772465761719403
58,3.8116012047528613
59,3.8156003958299025
60,3.8372983329679635
61,3.7950142316812348
62,3.815722063230028
63,3.8277752243341934
64,3.7942943631899637
65,3.781301784231738
66,3.816916969857561
67,3.7955492314331103
68,3.786847697492385
69,3.8196330935346943
70,3.798586748072688
71,3.7940276585256654
72,3.821678076476907
73,3.828822199627723
74,3.799179155123903
75,3.827722750826885
76,3.804671951375522
77,3.80588681901337
78,3.7919469471049987
79,3.8079028259849967
80,3.7764355873738764
81,3.8362071768761044
82,3.799939956455187
83,3.799470556348108
84,3.820634052747461
85,3.7956315425411007
86,3.8212671315304028
87,3.802024551161358
88,3.787751854435028
89,3.808769690026041
90,3.804483376245681
91,3.809220789645926
92,3.8108982577070165
93,3.806221470280273
94,3.8164025583014936
95,3.8072073265705586
96,3.8215108702927956
97,3.803163271091934
98,3.8119046144789936
99,3.832496685919524
100,3.8422614929677334
101,3.8177449178089433
102,3.8543109431794362
103,3.7833474930974504
104,3.8088720729163206
105,3.796253911668296
106,3.812087479037089
107,3.8062421834673645
108,3.8301680012366504
109,3.796843051526069
110,3.8071156955731453
111,3.88135810356342
112,3.7833770233886166
113,3.8046627812316363
114,3.800771107273988
115,3.8014231712298296
116,3.8073558157320577
117,3.7876182956803217
118,3.788658242128912
119,3.8439560999012428
120,3.788247337976037
121,3.836809049256919
122,3.8111518499520805
123,3.799224522343488
124,3.7950779843959617
125,3.86310140067753
126,3.823330165813234
127,3.812153635162995
128,3.807883033095479
129,3.825005335487384
130,3.7970702225639195
131,3.824598794777581
132,3.7902894441560613
133,3.7940951408464643
134,3.820284838165629
135,3.8448660254342797
136,3.8096452084440693
137,3.859028947358078
138,3.783703358180775
139,3.8106554596040403
140,3.8595385010734553
141,3.8399962789829094
142,3.8236138914427396
143,3.786003566306755
144,3.8060561529603327
145,3.783314123344139
146,3.8088630385216233
147,3.822698179812381
148,3.804934828343819
149,3.82528896510466
150,3.8150486694288617
151,3.780865665399935
152,3.8541123732386424
153,3.8544893981103976
154,3.788779561655815
155,3.8161121321691116
156,3.7773605308546485
157,3.826384157690955
158,3.8006382913108574
159,3.809239526961521
160,3.7959295443982364
161,3.793148759802886
162,3.8102487615357084
163,3.7943334426532225
164,3.83952773728563
165,3.7981207023367642
166,3.8011766192385124
167,3.760058143238395
168,3.7650306910078086
